publication_date,meeting_date,committee,sponsor_raw,drug_raw,mapped_ticker,mapped_name,eligible,exclusion_reason,document_number,html_url,title
2023-09-11,2023-10-11,,,,,,True,,2023-19499,https://www.federalregister.gov/documents/2023/09/11/2023-19499/request-for-nominations-of-a-nonvoting-representative-of-the-interest-of-the-tobacco-manufacturing,Request for Nominations of a Nonvoting Representative of the Interest of the Tobacco Manufacturing Industry on the Tobacco Products Scientific Advisory Committee
2023-09-13,2023-09-13,,,Oxandrin,,,False,short_lead,2023-19796,https://www.federalregister.gov/documents/2023/09/13/2023-19796/determination-that-oxandrin-oxandrolone-tablets-25-milligrams-and-10-milligrams-were-withdrawn-from,"Determination That Oxandrin (Oxandrolone) Tablets, 2.5 Milligrams and 10 Milligrams, Were Withdrawn From Sale for Reasons of Safety or Effectiveness"
2023-09-15,2023-12-14,,,,,,True,,2023-20015,https://www.federalregister.gov/documents/2023/09/15/2023-20015/quality-management-maturity-program-for-drug-manufacturing-establishments-establishment-of-a-public,Quality Management Maturity Program for Drug Manufacturing Establishments; Establishment of a Public Docket; Request for Comments
2023-09-19,2023-09-19,,,,,,False,short_lead,2023-20012,https://www.federalregister.gov/documents/2023/09/19/2023-20012/advisory-committee-board-of-tea-experts-termination-and-technical-amendment-to-the-citation-for-the,Advisory Committee; Board of Tea Experts; Termination and Technical Amendment to the Citation for the Federal Advisory Committee Act
2023-10-03,2023-12-04,,,,,,True,,2023-21662,https://www.federalregister.gov/documents/2023/10/03/2023-21662/medical-devices-laboratory-developed-tests,Medical Devices; Laboratory Developed Tests
2023-10-04,2023-11-16,Oncologic Drugs Advisory Committee,Acrotech Biopharma Inc,,,,True,,2023-21984,https://www.federalregister.gov/documents/2023/10/04/2023-21984/oncologic-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for,Oncologic Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-10-05,2023-11-07,,,,,,True,,2023-22106,https://www.federalregister.gov/documents/2023/10/05/2023-22106/radiological-devices-panel-of-the-medical-devices-advisory-committee-notice-of-meeting,Radiological Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting
2023-10-11,2023-10-11,,,,,,False,short_lead,2023-22465,https://www.federalregister.gov/documents/2023/10/11/2023-22465/agency-information-collection-activities-announcement-of-office-of-management-and-budget-approvals,Agency Information Collection Activities; Announcement of Office of Management and Budget Approvals
2023-10-12,2023-12-11,,,,,,True,,2023-22566,https://www.federalregister.gov/documents/2023/10/12/2023-22566/advisory-committee-digital-health-committee-establishment,Advisory Committee; Digital Health Committee; Establishment
2023-10-12,2023-11-27,,,,,,True,,2023-22567,https://www.federalregister.gov/documents/2023/10/12/2023-22567/request-for-nominations-of-individuals-and-consumer-organizations-for-the-digital-health-advisory,Request for Nominations of Individuals and Consumer Organizations for the Digital Health Advisory Committee
2023-10-12,2023-11-13,,,,,,True,,2023-22568,https://www.federalregister.gov/documents/2023/10/12/2023-22568/request-for-nominations-of-individuals-and-industry-organizations-for-the-digital-health-advisory,Request for Nominations of Individuals and Industry Organizations for the Digital Health Advisory Committee
2023-10-12,2023-12-11,,,,,,True,,2023-22569,https://www.federalregister.gov/documents/2023/10/12/2023-22569/request-for-nominations-for-voting-members-for-the-digital-health-advisory-committee,Request for Nominations for Voting Members for the Digital Health Advisory Committee
