ticker,ticker_source,target_cik,target_name,sic,sic_biotech,institutions,sc13d_new,sc13g_new,form4_all,form_amendment_count,form_other_count,total_events,first_event_date,accession_first_event,listing_status,form25_accession,form25_date
TNGX,submissions.tickers,0001819133,"Tango Therapeutics, Inc.",2834,True,RA Capital,0,0,0,1,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001797768,Kinnate Biopharma Inc.,2834,True,OrbiMed;RA Capital,0,0,0,11,0,0,,,DELISTED,0001354457-24-000225,2024-04-03
OLMA,submissions.tickers,0001750284,"Olema Pharmaceuticals, Inc.",2834,True,Deep Track;RA Capital,0,1,0,4,0,1,2024-03-22,0001172661-24-001695,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001375151,"ZOGENIX, INC.",2834,True,RA Capital,0,0,0,2,0,0,,,DELISTED,0001354457-22-000167,2022-03-07
RYTM,submissions.tickers,0001649904,"RHYTHM PHARMACEUTICALS, INC.",2834,True,Baker Bros;Perceptive;RA Capital,1,2,0,10,0,3,2024-02-12,0001193125-24-032072,ACTIVE,,
PHAT,submissions.tickers,0001783183,"Phathom Pharmaceuticals, Inc.",2834,True,RA Capital,0,0,0,2,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001823465,5:01 Acquisition Corp.,6770,False,RA Capital,0,0,0,2,0,0,,,DELISTED,0001354457-22-000576,2022-10-17
GERN,submissions.tickers,0000886744,GERON CORP,2834,True,Deep Track;RA Capital,0,1,0,6,0,1,2023-01-13,0001172661-23-000180,ACTIVE,,
TVTX,submissions.tickers,0001438533,"Travere Therapeutics, Inc.",2834,True,Deep Track;Perceptive;RA Capital,0,1,0,8,0,1,2022-05-16,0001172661-22-001492,ACTIVE,,
NAUT,submissions.tickers,0001808805,"Nautilus Biotechnology, Inc.",3826,False,Perceptive;RA Capital,0,0,0,3,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001823200,BCLS Acquisition Corp.,6770,False,Perceptive;RA Capital,0,0,0,3,0,0,,,DELISTED,0001354457-22-000595,2022-10-26
,미복구 · no 10-K/10-Q found,0001657312,Verona Pharma plc,2834,True,Deep Track;OrbiMed;Perceptive;RA Capital,0,3,0,10,0,3,2023-04-20,0001193125-23-108440,DELISTED,0001354457-25-000995,2025-10-07
,미복구 · no 10-K/10-Q found,0000855654,"ImmunoGen, Inc.",2834,True,RA Capital;Redmile,0,0,0,6,0,0,,,DELISTED,0001354457-24-000070,2024-02-12
ENTX,submissions.tickers,0001638097,Entera Bio Ltd.,2836,True,RA Capital,0,0,0,1,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001367920,"CONCERT PHARMACEUTICALS, INC.",2834,True,Perceptive;RA Capital,0,0,0,4,0,0,,,DELISTED,0001354457-23-000156,2023-03-06
MIST,submissions.tickers,0001408443,Milestone Pharmaceuticals Inc.,2834,True,OrbiMed;RA Capital,0,0,0,4,0,0,,,ACTIVE,,
ASND,submissions.tickers,0001612042,Ascendis Pharma A/S,2834,True,Baker Bros;RA Capital,0,0,0,8,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001340652,"ChemoCentryx, Inc.",2834,True,RA Capital,0,0,0,1,0,0,,,DELISTED,0001354457-22-000581,2022-10-20
GHRS,submissions.tickers,0001855129,GH Research PLC,2834,True,RA Capital,0,0,0,5,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001348911,"KalVista Pharmaceuticals, Inc.",2834,True,Deep Track;RA Capital,0,1,0,4,0,1,2021-10-25,0001172661-21-002058,DELISTED,0001354457-26-000565,2026-06-11
,미복구 · no 10-K/10-Q found,0001845337,"Day One Biopharmaceuticals, Inc.",2834,True,RA Capital,0,0,0,2,0,0,,,DELISTED,0001354457-26-000366,2026-04-23
,미복구 · no 10-K/10-Q found,0001828326,Frazier Lifesciences Acquisition Corp,6770,False,RA Capital,0,0,0,1,0,0,,,DELISTED,0001354457-22-000662,2022-11-22
XFOR,submissions.tickers,0001501697,"X4 Pharmaceuticals, Inc",2836,True,OrbiMed;RA Capital,0,0,0,4,0,0,,,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001169245,PhaseBio Pharmaceuticals Inc,2834,True,RA Capital,0,0,0,2,0,0,,,DELISTED,0001354457-22-000754,2022-12-21
